id,file,percent,hp,time captured,time parsed,manual
halphas,Screenshot (386).png,99.89,2150.0,1545384228,1545389212.0,
amon_ra,Screenshot (387).png,99.91,1892.0,1545384232,1545389213.0,
sabnock,Screenshot (388).png,99.87,2679.0,1545384235,1545389214.0,
flauros,Screenshot (389).png,99.77,4683.0,1545384239,1545389216.0,
forneus,Screenshot (390).png,99.83,3437.0,1545384242,1545389218.0,
flauros,Screenshot (391).png,99.76,4843.0,1545384352,1545389219.0,
forneus,Screenshot (392).png,99.82,3596.0,1545384354,1545389222.0,
barbatos,Screenshot (393).png,93.93,121469.0,1545384358,1545389225.0,
halphas,Screenshot (394).png,99.89,2225.0,1545384361,1545389229.0,
amon_ra,Screenshot (395).png,99.9,1980.0,1545384365,1545389232.0,
sabnock,Screenshot (396).png,99.86,2794.0,1545384368,1545389237.0,
flauros,Screenshot (397).png,99.76,4843.0,1545384371,1545389244.0,
forneus,Screenshot (398).png,99.82,3596.0,1545384375,1545389255.0,
flauros,Screenshot (399).png,99.75,5020.0,1545384484,1545389256.0,
forneus,Screenshot (400).png,99.81,3732.0,1545384487,1545389259.0,
barbatos,Screenshot (401).png,93.7,126094.0,1545384490,1545389260.0,
halphas,Screenshot (402).png,99.88,2320.0,1545384494,1545389261.0,
amon_ra,Screenshot (403).png,99.9,2056.0,1545384497,1545389263.0,
sabnock,Screenshot (404).png,99.86,2894.0,1545384500,1545389264.0,
flauros,Screenshot (405).png,99.75,5020.0,1545384504,1545389266.0,
